oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux
16.19708,19.22678,56.03782,80.44935,23.761,17.05213,6.215262
22.63415,33.09229,77.37643,121.001,9.274938,10.30172,9.38415
14.52703,60.12276,99.53986,276.9407,27.04109,20.63804,9.412765
25.61145,72.70265,186.1087,379.2169,40.57128,32.86898,20.0715
89.87276,136.5766,178.3828,662.3816,128.7941,90.77958,20.21532
13.13847,69.32939,127.4925,306.1862,41.41167,33.02422,7.595819
25.75151,26.27464,69.64757,114.5082,37.66911,29.67424,8.043366
20.5098,16.78137,38.52942,55.31624,6.669648,6.770514,6.318758
145.9964,75.48348,35.99637,267.366,48.25722,32.64269,13.01536
190.3839,441.6781,760.1163,1730.184,237.2539,202.344,29.70572
34.23663,13.65083,32.93031,44.89305,22.5794,10.7348,7.435305
117.7727,159.5007,216.2343,665.8596,145.0974,101.8549,26.32128
310.7861,111.8675,433.4191,522.7863,123.3058,95.94482,42.745
24.79698,60.81628,149.2914,280.2926,28.01013,20.63446,7.713085
12.5357,46.20872,75.24348,203.8518,23.21389,11.51891,6.825827
85.38525,187.7388,354.6933,779.1212,115.6757,92.59468,17.06778
172.1946,121.6086,292.8869,559.3334,76.46598,52.89969,9.698282
75.97897,176.3848,369.5382,741.872,131.0547,110.0214,20.19
589.7026,283.4801,130.9748,962.7154,159.8577,110.7298,31.61987
169.2145,200.1094,144.5126,624.9178,126.4185,85.83565,15.63299
63.82671,69.02045,65.30722,218.4462,57.58437,40.23866,16.52171
18.51653,121.286,265,644.7962,89.57667,69.95643,10.44577
13.93303,70.33158,120.3484,315.1534,46.99787,33.53667,9.202316
44.11203,76.59127,88.52109,266.877,66.0388,48.5117,7.863496
44.48196,178.7631,403.7434,1019.28,141.4144,105.3758,23.05472
15.89053,10.55547,44.32033,41.66307,23.69304,11.94174,7.235257
18.84263,7.258597,54.88734,39.76331,29.5587,22.7366,9.941569
27.08952,144.9551,256.72,748.7035,115.6019,82.20285,17.80876
39.8778,84.99467,205.0953,440.7179,85.91937,63.31689,18.30416
308.164,146.0567,55.29931,467.7219,89.09348,59.32728,18.01285
198.569,178.6429,135.9308,643.0381,135.7035,95.14564,22.42675
540.4902,236.5502,77.84684,748.2629,133.6105,102.0545,23.06863
73.79988,50.11334,136.2086,122.8253,72.01903,43.83862,26.87618
22.18153,24.02429,73.9246,62.30732,38.0382,18.52659,13.0543
908.5054,707.1127,768.2378,2979.046,402.9329,312.328,73.26795
67.79442,147.3021,365.8455,872.9588,136.1455,102.143,25.98589
